chapitres,personnages,resume
73,"luffy,zoro,usopp,sanji,arlong,hatchan,nami,kuroobi,smack,meuh-meuh,yosaku",
74,"luffy,zoro,usopp,sanji,arlong,hatchan,nami,smack,kuroobi,pisaro,meuh-meuh,johnny,yosaku",
75,"luffy,zoro,sanji,arlong,hatchan,smack,kuroobi,take,shioyaki,pudding pudding,nojiko,genzo,johnny,yosaku",
76,"luffy,zoro,usopp,sanji,nami,nezumi,nojiko,genzo,johnny,yosaku",
77,"luffy,zoro,usopp,sanji,arlong,hatchan,kuroobi,smack,nami,nojiko,genzo,belmer,nakoh",
78,"arlong,hatchan,kuroobi,smack,pisaro,kaneshiro,genzo,nami,nojiko,belmer,nakoh",
79,"nami,arlong,hatchan,kuroobi,smack,genzo,nojiko,belmer,nakoh,daddy dee,mummy mee",
80,"luffy,zoro,usopp,sanji,arlong,hatchan,kuroobi,nami,nezumi,nojiko,genzo",
81,"luffy,zoro,usopp,sanji,arlong,smack,kuroobi,nami,nezumi,nojiko,genzo,nakoh,johnny,yosaku",
82,"luffy,zoro,usopp,sanji,arlong,hatchan,smack,kuroobi,meuh-meuh,shioyaki,kaneshiro,nami,nojiko,genzo,nakoh,johnny,yosaku",
83,"luffy,zoro,usopp,sanji,arlong,hatchan,smack,kuroobi,meuh-meuh,nojiko,genzo,nakoh,johnny,yosaku",
84,"luffy,zoro,usopp,sanji,arlong,hatchan,smack,kuroobi,nojiko,genzo,nakoh,johnny,yosaku",
85,"luffy,zoro,sanji,arlong,hatchan,kuroobi,mihawk,nojiko,genzo,nakoh,johnny,yosaku",
86,"luffy,zoro,sanji,arlong,hatchan,kuroobi,nojiko,genzo,johnny,yosaku",
87,"luffy,zoro,usopp,sanji,arlong,smack,hatchan,kuroobi,nojiko,genzo,nami,johnny,yosaku",
88,"luffy,zoro,usopp,sanji,arlong,smack,hatchan,nami,nojiko,genzo,nakoh,johnny,yosaku",
89,"luffy,zoro,usopp,sanji,arlong,hatchan,nami,nojiko,genzo,nakoh,johnny,yosaku",
90,"luffy,zoro,usopp,sanji,arlong,nami,nojiko,genzo,nakoh,johnny,yosaku",
91,"luffy,usopp,sanji,arlong,nojiko,genzo,nakoh,johnny,yosaku",
92,"luffy,usopp,sanji,arlong,nojiko,genzo,nakoh,johnny,yosaku",
93,"luffy,usopp,sanji,arlong,nojiko,genzo,nakoh,johnny,yosaku",
94,"luffy,zoro,nami,usopp,sanji,nezumi,nojiko,genzo,nakoh,johnny,yosaku",
95,"luffy,zoro,nami,usopp,sanji,chabo,nojiko,genzo,nakoh,belmer,johnny,yosaku",
96,"luffy,zoro,nami,usopp,sanji,shanks,yasopp,ben backman,lucky roo,koze,packi,baggy,don krieg,arlong,cancer,stainless,brandnew,john giant,tashigi,makino,hoop slap,mihawk",
97,"luffy,zoro,nami,sanji,alvida,tashigi,smoker,hanger,ippon-matsu",
98,"luffy,zoro,nami,usopp,sanji,baggy,alvida,cabaji,tashigi,smoker,mashikaku,sapî,yu",
99,"luffy,zoro,nami,usopp,sanji,baggy,alvida,cabaji,morge,richie,gold roger,tashigi,smoker",
100,"luffy,zoro,nami,usopp,sanji,baggy,alvida,cabaji,morge,richie,tashigi,smoker,dragon,kuina",
101,"Luffy,Zoro,Nami,Usopp,Sanji",
102,"Luffy,Zoro,Nami,Usopp,Sanji,laboon,crocus",
103,"Luffy,Zoro,Nami,Usopp,Sanji,Yorki,crocus,Miss_Wednesday,Mr_9,laboon",
104,"Luffy,Zoro,Nami,Usopp,Sanji,Crocus,Miss_Wednesday,Mr_9,laboon",
105,"Luffy,Zoro,Nami,Usopp,Sanji,Crocus,Miss_Wednesday,Mr_9,Unluckies,laboon",
106,"Luffy,Zoro,Nami,Usopp,Sanji,Igarappoi,Miss_Catharina,Mr_Beans,Miss_Wednesday,Mr_9",
107,"Luffy,Zoro,Nami,Usopp,Sanji,Miss_Wednesday,Mr_9,Mr_8,Miss_Monday,Miss_Catharina,Mr. Beans,Mr. Shimizu",
108,"Luffy,Zoro,Nami,Usopp,Sanji,Miss_Wednesday,Mr_9,Mr_8,Miss_Monday,Miss_Catharina,Mr_Beans",
109,"Luffy,Zoro,Miss_Wednesday,Mr_9,Mr_8,Karoo",
110,"Luffy,Zoro,Nami,Mr_5,Miss_Valentine,Mr_9,Miss_Monday,Vivi,Igaram,Unluckies,Karoo",
111,"Luffy,Zoro,Nami,Miss_Monday,Vivi,Igaram,Karoo,Mr_5,Miss_Valentine",
112,"Luffy,Zoro,Vivi,Karoo,Mr. 5,Miss_Valentine",
113,"Luffy,Zoro,Nami,Usopp,Sanji,Vivi,Igaram,Karoo,Mr_5,Miss_Valentine,Unluckies",
114,"Luffy,Zoro,Nami,Usopp,Vivi,Karoo,Miss_All_Sunday,Banchi",
115,"Luffy,Zoro,Nami,Usopp,Sanji,brogy,dorry,vivi,karoo,",
116,"Luffy,Zoro,Nami,Usopp,Sanji,brogy,dorry,vivi,karoo,",
117,"Luffy,Nami,Usopp,brogy,dorry,vivi,batts_samurai,mr_3,miss_goldenweek,",
118,"Luffy,broggy,dorry,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
119,"Luffy,Zoro,Nami,Usopp,broggy,dorry,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
120,"Luffy,usopp,broggy,dorry,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
121,"luffy,zoro,nami,usopp,karoo,brogy,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
122,"luffy,zoro,nami,usopp,karoo,brogy,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
123,"luffy,zoro,nami,usopp,karoo,brogy,vivi,mr_3,miss_goldenweek,mr_5,miss_valentine",
124,"luffy,zoro,nami,usopp,karoo,vivi,miss_goldenweek,mr_5,miss_valentine",
125,"Luffy,Zoro,Nami,Usopp,Sanji,vivi,karoo,mr_3,miss_goldenweek,mr_5,miss_valentine",
126,"Luffy,Zoro,Nami,Usopp,Sanji,vivi,karoo,mr_3,mr_5,miss_valentine",
127,"Luffy,Zoro,Nami,Usopp,Sanji,brogy,dorry,vivi,karoo,smoker,mr_0,miss_all_sunday,unluckies",
128,"Luffy,Zoro,Nami,Usopp,Sanji,brogy,dorry,vivi,karoo,smoker,tashigi,mr_11",
129,"Luffy,Zoro,Nami,Usopp,Sanji,brogy,dorry,vivi,karoo,mr_2,akumai",
130,"Luffy,Zoro,Nami,Usopp,Sanji,vivi,karoo",
131,"Luffy,Zoro,Nami,Usopp,Sanji,vivi,karoo,wapol,chess,kuromarimo",
132,"Luffy,Zoro,Nami,Usopp,Sanji,vivi,karoo,chess,kuromarimo,dalton",
133,"Luffy,Zoro,Nami,Usopp,Sanji,Dalton,Negikuma_Maria,vivi,karoo",
134,"Luffy,Nami,Usopp,Sanji,Wapol,Chess,Dalton,Negikuma Maria,Stool,Tamachibi,Kureha,Tony Tony Chopper,Vivi,lapins_des_neiges",
135,"Monkey D. Luffy,Nami,Usopp,Sanji,Wapol,Chess,Kuromarimo,Robson,Dalton,Stool,Tamachibi,Vivi,lapins_des_neiges",
136,"Luffy,Nami,Usopp,Sanji,Wapol,Chess,Kuromarimo,Robson,Toubibs_20,Dalton,Alabasta,Vivi",
137,"Luffy,Nami,Usopp,Sanji,Wapol,Chess,Kuromarimo,Robson,vivi",
138,"Luffy,Nami,Sanji,Wapol,Chess,Kuromarimo,Robson,chopper",
139,"Luffy,Zoro,Nami,Usopp,Sanji,Kureha,chopper,vivi",
140,"Luffy,Nami,Sanji,Kureha,Chopper",
141,"Luffy,Zoro,Usopp,Sanji,Wapol,Chess,Kuromarimo,Robson,Kureha,Chopper,Dalton,Hiluluk,",
142,"Chopper,Hiluluk,Wapol,Dalton,Chess,Kuromarimo,Cobra,Vivi,Igaram,Thalassa_Lucas,dragon",
143,"Kureha,Chopper,Hiluluk,Dalton,Wapol",
144,"Kureha,Chopper,Hiluluk,Dalton,Wapol",
145,"Luffy,Wapol,Kureha,Chopper,Hiluluk,Dalton,Chess,Kuromarimo",
146,"Luffy,Nami,Sanji,Wapol,Chess,Kuromarimo,Robson,kureha,chopper",
147,"Luffy,Zoro,Usopp,Sanji,Wapol,Chess,Kuromarimo,Chessmarimo,Dalton,Kureha,chopper,vivi",
148,"Luffy,Zoro,Usopp,Sanji,Wapol,Chessmarimo,Dalton,Kureha,Chopper,vivi",
149,"luffy,sanji,wapol,chessmarimo,kureha,chopper",
150,"Luffy,Nami,Sanji,Wapol,Chessmarimo,kureha,chopper",
151,"Luffy,zoro,usopp,wapol,Dalton,Kuromarimo,Chess,Chopper,Hiluluk,Kureha",
152,"Luffy,Zoro,Nami,Usopp,Sanji,kureha,dalton,chopper,vivi",
153,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,kureha,dalton,hiluluk,vivi",
154,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,kureha,dalton,vivi,karoo,mr_0,miss_all_sunday,mr_2,akumai,ace",
155,"Luffy,Zoro,Nami,Usopp,Chopper,Vivi,Sanji,Karoo,Puppuh,crocodile,cobra,chaka,pell",
156,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,cobra,vivi,karoo,mr_2_akumai",
157,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,ace,smoker,tashigi,yashimoto,vivi,karoo,chacalot",
158,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,ace,smoker,tashigi,yashimoto,vivi,karoo",
159,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,ace,smoker,tashigi,mr_11,mr_mellow,vivi,karoo",
160,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,Mr_0,Miss_All_Sunday,Mr_1,Miss_Doublefinger,Mr_2,Mr_4,Miss_Merry_Christmas,akumai,vivi",
161,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,Miss_All_Sunday,Mr_1,Miss_DoubleFinger,Mr_2,Mr_4,Miss_Merry_Christmas,vivi",
162,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi",
163,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi,karoo,toto,kohza,cobra,igaram,aswa",
164,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi,kebi,okame,natoo,kohza,igaram,cobra,toto",
165,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi,toto,mr_0,miss_all_sunday,Mr_1,Miss_DoubleFinger,Mr_2,Mr_4,Miss_Merry_Christmas",
166,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi,Crocodile,Miss_All_Sunday,Mr_1,Miss_DoubleFinger,Mr_2,Mr._3,Mr_4,Miss_Merry_Christmas",
167,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,vivi,Kohza,Kappa,Farafra,Kebi,Okame,Natto,Cobra,Eric,Pell,Chaka",
168,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,tashigi,vivi,crocodile_miss_all_sunday",
169,"luffy,zoro,nami,usopp,somker,ultraking,pell,vivi,crocodile,miss_all_sunday",
170,"luffy,zoro,nami,usopp,somker,ultraking,pell,vivi,crocodile,miss_all_sunday",
171,"Chaka,Kohza,Toto,Nefertari Cobra,Kappa,Eric,Kebi,Agents_Officiers,Miss_DoubleFinger,Mr_1,Mr_2,Billions,Akumai,",
172,"luffy,zoro,nami,usopp,somker,kobby,Kappa,Eric,Kebi,Kohza,Chaka,Farafra,Vivi,crocodile,miss_all_sunday,Miss_DoubleFinger,,Mr_1,Mr._2,akumai,banchi",
173,"luffy,zoro,nami,usopp,somker,vivi,crododile,miss_all_sunday",
174,"luffy,zoro,nami,usopp,sanji,somker,ultraking,vivi,crocodile,miss_all_sunday,mr_3",
175,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,crocodile,miss_all_sunday,mr_3,vivi",
176,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,crocodile,miss_all_sunday,mr_3,vivi",
177,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,crocodile,miss_all_sunday,vivi",
178,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,tashigi,crocodile,vivi",
179,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,smoker,tashigi,crocodile,vivi,toto,kohza,chaka,cobra,mr_4,miss_merry_christmas",
180,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,Pell,Igaram,Toto,Cobra,Vivi,Miss_All_Sunday,Mr_1,Miss_DoubleFinger,Mr_2,Mr_4,Miss_Merry_Christmas",
181,"Zoro,Nami,Usopp,Sanji,Chopper,Kohza,Eric,Chaka,Vivi,Mr_1,Miss_DoubleFinger,Mr_2,Mr_4,Miss_Merry_Christmas",
182,"usopp,sanji,Chaka,Kohza,Cobra,Eric,Kebi,Vivi,crocodile,mr_2",
183,"Luffy,Zoro,Nami,Usopp,Sanji,Chopper,mr_2,mr_4,vivi,karoo",
184,"usopp,chopper,mr_4,miss_merry_christmas_lassou",
185,"usopp,chopper,mr_4,miss_merry_christmas_lassou",
186,"usopp,chopper,mr_4,miss_merry_christmas_lassou",
187,"mr_2,sanji,Kohza,Kebi,Chaka,Vivi",
188,"mr_2,sanji,Chaka,Vivi",
189,"Luffy,Zoro,Nami,Chopper,chaka,vivi,mr_0,mr_1,miss_doublefinger",
190,"zoro,nami,usopp,chopper,mr_1,miss_doublefinger",
191,"nami,usopp,miss_doublefinger",
192,"Nami,Usopp,Sanji,Chopper,Chaka,Cobra,Vivi,mr-0,miss_all_sunday,Miss_DoubleFinger",
193,"zoro,nami,usopp,chaka,cobra,vivi,mr_0,miss_all_sunday,mr_1,miss_doublefinger",
194,"zoro,mr_1",
195,"zoro,mr_1,koshiro",
196,"Luffy,Zoro,Nami,Usopp,Sanji,Chopper,Chaka,Cobra,Vivi,Hyota,Mr. 0,Miss_All_Sunday,Brahm,Arrow,Barrel,Mr. 1,Miss DoubleFinger",
197,"macro,gyaro,tansui,Cobra,Vivi,Kohza,Chaka,Toto, Kebi,Farafra,mr_0,miss_all_sunday",
198,"Kohza,Farafra,Eric,Cobra,Chaka,Hyota,Brahm,Arrow,Barrel,Igaram,Toto,Pell,Mr_0,Miss_All_Sunday,Vivi",
199,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,pell,cobra,vivi,mr_0,miss_all_sunday",
200,"Luffy,Zoro,Nami,Usopp,Sanji,chopper,pell,cobra,vivi,mr_0,miss_all_sunday",
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,,
267,,
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,,
299,,
300,,
301,,
302,,
303,,
304,,
305,,
306,,
307,,
308,,
309,,
310,,
311,,
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,,
331,,
332,,
333,,
334,,
335,,
336,,
337,,
338,,
339,,
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,,
349,,
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,,
363,,
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,,
373,,
374,,
375,,
376,,
377,,
378,,
379,,
380,,
381,,
382,,
383,,
384,,
385,,
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,,
395,,
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,,
405,,
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,,
417,,
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,,
427,,
428,,
429,,
430,,
431,,
432,,
433,,
434,,
435,,
436,,
437,,
438,,
439,,
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,,
449,,
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,,
459,,
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,,
469,,
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,,
479,,
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,,
489,,
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,,
499,,
500,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,,
509,,
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,,
519,,
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,,
531,,
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,,
551,,
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,,
568,,
569,,
570,,
571,,
572,,
573,,
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,,
583,,
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,,
593,,
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,,
613,,
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,,
623,,
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,,
643,,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,,
653,,
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,,
663,,
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,,
673,,
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,,
685,,
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,,
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,,
713,,
714,,
715,,
716,,
717,,
718,,
719,,
720,,
721,,
722,,
723,,
724,,
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,,
737,,
738,,
739,,
740,,
741,,
742,,
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,,
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,,
769,,
770,,
771,,
772,,
773,,
774,,
775,,
776,,
777,,
778,,
779,,
780,,
781,,
782,,
783,,
784,,
785,,
786,,
787,,
788,,
789,,
790,,
791,,
792,,
793,,
794,,
795,,
796,,
797,,
798,,
799,,
800,,
801,,
802,,
803,,
804,,
805,,
806,,
807,,
808,,
809,,
810,,
811,,
812,,
813,,
814,,
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
